Main Team,Opponent
Bates,Tufts
Tufts,Bates
Carnegie Mellon,WashU
WashU,Carnegie Mellon
UW-Stout,UW-Stevens Point
UW-Stevens Point,UW-Stout
Carnegie Mellon,NYU
NYU,Carnegie Mellon
Texas Lutheran,McMurry
McMurry,Texas Lutheran
Scranton,Elizabethtown
Elizabethtown,Scranton
UW-La Crosse,UW-Stevens Point
UW-Stevens Point,UW-La Crosse
UW-Oshkosh,UW-Stout
UW-Stout,UW-Oshkosh
Lebanon Val,Hunter
Hunter,Lebanon Val
Millsaps,Belhaven
East Texas Baptist,Belhaven
Merchant Marine,Hunter
Hunter,Merchant Marine
UW-Oshkosh,UW-La Crosse
UW-La Crosse,UW-Oshkosh
Trinity (CT),Bowdoin
Trine,Hope
Hope,Trine
Bowdoin,Trinity (CT)
UW-Whitewater,UW-La Crosse
UW-Stevens Point,UW-Oshkosh
UW-Oshkosh,UW-Stevens Point
UW-La Crosse,UW-Whitewater
Tufts,Smith
Smith,Tufts
WashU,NYU
NYU,WashU
UW-Whitewater,UW-Stout
UW-Stout,UW-Whitewater
Scranton,Catholic
Hardin-Simmons,East Texas Baptist
Gustavus Adolphus,Bethel
East Texas Baptist,Hardin-Simmons
Catholic,Scranton
Bethel,Gustavus Adolphus
Tufts,Amherst
Trinity (CT),Bates
Bates,Trinity (CT)
Amherst,Tufts
Western New England,Roger Williams
UW-Whitewater,UW-Oshkosh
UW-Oshkosh,UW-Whitewater
Roger Williams,Western New England
Rhode Island College,Mass-Dartmouth
Mass-Dartmouth,Rhode Island College
Johns Hopkins,Gettysburg
Gettysburg,Johns Hopkins
Elizabethtown,Catholic
Catholic,Elizabethtown
WashU,NYU
NYU,WashU
Washington & Lee,Randolph-Macon
Tufts,Trinity (CT)
Trinity (CT),Tufts
Randolph-Macon,Washington & Lee
Bowdoin,Amherst
Amherst,Bowdoin
Texas Lutheran,McMurry
McMurry,Texas Lutheran
UW-Whitewater,UW-Stevens Point
UW-Stout,UW-La Crosse
UW-Stevens Point,UW-Whitewater
UW-La Crosse,UW-Stout
Maine-Maritime,Bowdoin
Bowdoin,Maine-Maritime
UW-Whitewater,UW-La Crosse
UW-La Crosse,UW-Whitewater
Mass-Dartmouth,Bates
Bates,Mass-Dartmouth
NYU,Carnegie Mellon
Carnegie Mellon,NYU
UW-Stevens Point,UW-Oshkosh
UW-Oshkosh,UW-Stevens Point
St. Joseph's (ME),Bowdoin
Bowdoin,St. Joseph's (ME)
WashU,Carnegie Mellon
McMurry,Colorado College
Colorado College,McMurry
Carnegie Mellon,WashU
UW-Stout,UW-Stevens Point
UW-Stevens Point,UW-Stout
UW-Oshkosh,UW-La Crosse
UW-La Crosse,UW-Oshkosh
Scranton,Catholic
Gustavus Adolphus,Bethel
Catholic,Scranton
Bethel,Gustavus Adolphus
Trinity (CT),Amherst
Bowdoin,Bates
